"record.id"	"Ambystoma"	"Ambystoma.gracile"	"Aneides"	"Aneides.flavipunctatus"	"Aneides.lugubris"	"Aneides.vagrans"	"Ascaphus.truei"	"Batrachoseps.attenuatis"	"Batrachoseps.attenuatus"	"Bufo.boreas"	"Dicamptodon.tenebrosus"	"Dicourptodon.ensatus"	"Ensatina.echscholtzi.oregonensis"	"Ensatina.eschscholtzi"	"Ensatina.eschscholtzi.picta"	"Ensatina.eschscholtzii"	"Ensatina.eschscholtzii.picta"	"Hyla.regilla"	"Plethodon.dunni"	"Plethodon.elongatus"	"Plethodon.elongatus.elongatus"	"Rana"	"Rana.aurora"	"Rana.aurora.aurora"	"Rana.boylii"	"Rana.cateesbeiana"	"Rana.catesbeiana"	"Rana.muscosa"	"Rhyacotriton.variegatus"	"Taricha"	"Taricha.granulosa"	"Taricha.rivularis"	"Taricha.torosa"
"REDW-1717"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA-NA-NA-In Review"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1718"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Abundant-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1719"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Uncommon-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1720"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Uncommon-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1721"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Uncommon-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1722"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Uncommon-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1723"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA
"REDW-1724"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA-NA-NA-In Review"	NA	NA	NA
"REDW-1725"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA
"REDW-1726"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Confirmed-NA-NA-Approved"	NA
"REDW-1727"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Confirmed-NA-NA-Approved"
